sortie_id,cadet_id,instructor_id,aircraft_id,base_id,scheduled_start,scheduled_end,actual_start,actual_end,status,delay_minutes,cancel_reason,lesson_type,flight_duration_hrs
S00001,C096,I030,A015,Mysuru,2025-06-10 06:00:00,2025-06-10 07:30:00,2025-06-10 06:40:00,2025-06-10 08:10:00,completed,40,,Navigation,1.5
S00002,C086,I009,A001,Chennai,2025-03-21 17:00:00,2025-03-21 18:30:00,2025-03-21 17:28:00,2025-03-21 18:58:00,completed,28,,Navigation,1.5
S00003,C088,I010,A013,Bangalore,2025-05-29 10:00:00,2025-05-29 11:30:00,2025-05-29 10:08:00,2025-05-29 11:38:00,completed,8,,Navigation,1.5
S00004,C011,I027,A016,Bangalore,2025-03-17 10:00:00,2025-03-17 11:30:00,2025-03-17 10:26:00,2025-03-17 11:56:00,completed,26,,Circuit,1.5
S00005,C198,I011,A013,Hyderabad,2025-02-21 07:00:00,2025-02-21 08:30:00,2025-02-21 07:34:00,2025-02-21 09:04:00,completed,34,,General Handling,1.5
S00006,C052,I016,A017,Hyderabad,2025-05-16 13:00:00,2025-05-16 14:30:00,2025-05-16 14:04:00,2025-05-16 15:34:00,delayed,64,,Circuit,1.5
S00007,C051,I014,A008,Hyderabad,2025-03-07 18:00:00,2025-03-07 19:30:00,2025-03-07 18:30:00,2025-03-07 20:00:00,completed,30,,General Handling,1.5
S00008,C056,I001,A025,Chennai,2025-03-28 17:00:00,2025-03-28 18:30:00,2025-03-28 17:07:00,2025-03-28 18:37:00,completed,7,,Cross Country,1.5
S00009,C144,I024,A012,Chennai,2025-01-20 07:00:00,2025-01-20 08:30:00,2025-01-20 07:14:00,2025-01-20 08:44:00,completed,14,,Cross Country,1.5
S00010,C063,I011,A012,Mysuru,2025-05-23 10:00:00,2025-05-23 11:30:00,2025-05-23 10:05:00,2025-05-23 11:35:00,completed,5,,Cross Country,1.5
S00011,C022,I028,A017,Chennai,2025-01-04 09:00:00,2025-01-04 10:30:00,,,cancelled,0,Weather,Night Flying,
S00012,C133,I008,A017,Bangalore,2025-02-01 12:00:00,2025-02-01 13:30:00,2025-02-01 12:23:00,2025-02-01 13:53:00,completed,23,,General Handling,1.5
S00013,C090,I001,A024,Bangalore,2025-05-30 11:00:00,2025-05-30 12:30:00,2025-05-30 11:40:00,2025-05-30 13:10:00,completed,40,,General Handling,1.5
S00014,C200,I004,A015,Mysuru,2025-01-28 15:00:00,2025-01-28 16:30:00,2025-01-28 15:14:00,2025-01-28 16:44:00,completed,14,,Cross Country,1.5
S00015,C025,I016,A025,Bangalore,2025-01-07 14:00:00,2025-01-07 15:30:00,2025-01-07 14:35:00,2025-01-07 16:05:00,completed,35,,General Handling,1.5
S00016,C140,I002,A021,Mysuru,2025-06-06 08:00:00,2025-06-06 09:30:00,2025-06-06 08:04:00,2025-06-06 09:34:00,completed,4,,Cross Country,1.5
S00017,C019,I020,A004,Pune,2025-06-29 09:00:00,2025-06-29 10:30:00,2025-06-29 09:26:00,2025-06-29 10:56:00,completed,26,,Navigation,1.5
S00018,C126,I024,A012,Bangalore,2025-02-05 05:00:00,2025-02-05 06:30:00,2025-02-05 05:02:00,2025-02-05 06:32:00,completed,2,,General Handling,1.5
S00019,C136,I005,A018,Hyderabad,2025-05-07 06:00:00,2025-05-07 07:30:00,2025-05-07 06:42:00,2025-05-07 08:12:00,delayed,42,,Circuit,1.5
S00020,C154,I001,A001,Chennai,2025-05-18 07:00:00,2025-05-18 08:30:00,2025-05-18 07:24:00,2025-05-18 08:54:00,completed,24,,Cross Country,1.5
S00021,C108,I007,A009,Hyderabad,2025-04-05 15:00:00,2025-04-05 16:30:00,2025-04-05 15:34:00,2025-04-05 17:04:00,completed,34,,Cross Country,1.5
S00022,C154,I003,A017,Chennai,2025-05-31 16:00:00,2025-05-31 17:30:00,2025-05-31 16:49:00,2025-05-31 18:19:00,delayed,49,,Cross Country,1.5
S00023,C071,I004,A015,Mysuru,2025-06-17 06:00:00,2025-06-17 07:30:00,2025-06-17 07:32:00,2025-06-17 09:02:00,delayed,92,,Night Flying,1.5
S00024,C149,I002,A011,Chennai,2025-04-15 09:00:00,2025-04-15 10:30:00,2025-04-15 09:02:00,2025-04-15 10:32:00,completed,2,,General Handling,1.5
S00025,C074,I022,A018,Chennai,2025-02-25 12:00:00,2025-02-25 13:30:00,2025-02-25 12:28:00,2025-02-25 13:58:00,completed,28,,Circuit,1.5
S00026,C015,I008,A001,Pune,2025-04-03 06:00:00,2025-04-03 07:30:00,2025-04-03 07:57:00,2025-04-03 09:27:00,delayed,117,,General Handling,1.5
S00027,C109,I016,A024,Hyderabad,2025-05-20 15:00:00,2025-05-20 16:30:00,2025-05-20 15:22:00,2025-05-20 16:52:00,completed,22,,Navigation,1.5
S00028,C044,I013,A016,Pune,2025-04-12 09:00:00,2025-04-12 10:30:00,,,cancelled,0,ATC Restriction,Circuit,
S00029,C046,I014,A014,Hyderabad,2025-02-01 18:00:00,2025-02-01 19:30:00,2025-02-01 19:28:00,2025-02-01 20:58:00,delayed,88,,Navigation,1.5
S00030,C005,I029,A002,Bangalore,2025-06-19 08:00:00,2025-06-19 09:30:00,2025-06-19 08:40:00,2025-06-19 10:10:00,completed,40,,Night Flying,1.5
S00031,C179,I029,A022,Bangalore,2025-01-06 05:00:00,2025-01-06 06:30:00,,,cancelled,0,Weather,General Handling,
S00032,C047,I013,A015,Hyderabad,2025-03-04 07:00:00,2025-03-04 08:30:00,2025-03-04 07:36:00,2025-03-04 09:06:00,completed,36,,Circuit,1.5
S00033,C164,I021,A017,Mysuru,2025-01-18 18:00:00,2025-01-18 19:30:00,2025-01-18 18:35:00,2025-01-18 20:05:00,completed,35,,Circuit,1.5
S00034,C197,I005,A021,Pune,2025-05-31 08:00:00,2025-05-31 09:30:00,2025-05-31 08:14:00,2025-05-31 09:44:00,completed,14,,General Handling,1.5
S00035,C055,I006,A015,Chennai,2025-02-07 17:00:00,2025-02-07 18:30:00,2025-02-07 18:46:00,2025-02-07 20:16:00,delayed,106,,Navigation,1.5
S00036,C008,I023,A016,Mysuru,2025-03-12 18:00:00,2025-03-12 19:30:00,,,cancelled,0,ATC Restriction,Circuit,
S00037,C148,I009,A001,Hyderabad,2025-02-03 13:00:00,2025-02-03 14:30:00,2025-02-03 13:16:00,2025-02-03 14:46:00,completed,16,,Circuit,1.5
S00038,C061,I021,A001,Chennai,2025-01-29 15:00:00,2025-01-29 16:30:00,2025-01-29 15:01:00,2025-01-29 16:31:00,completed,1,,Circuit,1.5
S00039,C002,I003,A024,Pune,2025-01-04 10:00:00,2025-01-04 11:30:00,,,cancelled,0,ATC Restriction,Circuit,
S00040,C109,I009,A024,Hyderabad,2025-05-31 10:00:00,2025-05-31 11:30:00,2025-05-31 10:32:00,2025-05-31 12:02:00,delayed,32,,Circuit,1.5
S00041,C094,I005,A019,Bangalore,2025-03-09 05:00:00,2025-03-09 06:30:00,2025-03-09 05:46:00,2025-03-09 07:16:00,delayed,46,,Cross Country,1.5
S00042,C006,I029,A009,Chennai,2025-05-15 06:00:00,2025-05-15 07:30:00,,,cancelled,0,Weather,Navigation,
S00043,C005,I019,A015,Bangalore,2025-05-02 12:00:00,2025-05-02 13:30:00,2025-05-02 12:23:00,2025-05-02 13:53:00,completed,23,,Night Flying,1.5
S00044,C082,I008,A025,Pune,2025-06-01 06:00:00,2025-06-01 07:30:00,2025-06-01 06:28:00,2025-06-01 07:58:00,completed,28,,Night Flying,1.5
S00045,C070,I004,A006,Mysuru,2025-02-26 14:00:00,2025-02-26 15:30:00,2025-02-26 14:35:00,2025-02-26 16:05:00,delayed,35,,Night Flying,1.5
S00046,C101,I012,A006,Chennai,2025-03-19 12:00:00,2025-03-19 13:30:00,2025-03-19 13:52:00,2025-03-19 15:22:00,delayed,112,,Navigation,1.5
S00047,C127,I019,A016,Bangalore,2025-01-16 12:00:00,2025-01-16 13:30:00,2025-01-16 12:25:00,2025-01-16 13:55:00,completed,25,,Cross Country,1.5
S00048,C022,I006,A016,Chennai,2025-06-25 06:00:00,2025-06-25 07:30:00,2025-06-25 06:31:00,2025-06-25 08:01:00,completed,31,,Cross Country,1.5
S00049,C165,I018,A010,Mysuru,2025-01-19 06:00:00,2025-01-19 07:30:00,2025-01-19 06:20:00,2025-01-19 07:50:00,completed,20,,Night Flying,1.5
S00050,C140,I015,A010,Mysuru,2025-02-07 06:00:00,2025-02-07 07:30:00,2025-02-07 06:08:00,2025-02-07 07:38:00,completed,8,,General Handling,1.5
S00051,C067,I008,A013,Pune,2025-06-09 15:00:00,2025-06-09 16:30:00,2025-06-09 16:44:00,2025-06-09 18:14:00,delayed,104,,Night Flying,1.5
S00052,C114,I022,A018,Pune,2025-03-25 11:00:00,2025-03-25 12:30:00,2025-03-25 12:46:00,2025-03-25 14:16:00,delayed,106,,Night Flying,1.5
S00053,C142,I016,A010,Hyderabad,2025-03-17 12:00:00,2025-03-17 13:30:00,,,cancelled,0,Weather,Night Flying,
S00054,C070,I026,A016,Mysuru,2025-06-04 11:00:00,2025-06-04 12:30:00,2025-06-04 11:06:00,2025-06-04 12:36:00,completed,6,,Navigation,1.5
S00055,C025,I019,A015,Bangalore,2025-06-17 15:00:00,2025-06-17 16:30:00,2025-06-17 15:35:00,2025-06-17 17:05:00,completed,35,,Circuit,1.5
S00056,C053,I009,A010,Hyderabad,2025-04-21 12:00:00,2025-04-21 13:30:00,2025-04-21 12:14:00,2025-04-21 13:44:00,completed,14,,Cross Country,1.5
S00057,C012,I014,A020,Mysuru,2025-03-28 18:00:00,2025-03-28 19:30:00,2025-03-28 18:29:00,2025-03-28 19:59:00,completed,29,,Cross Country,1.5
S00058,C070,I024,A012,Mysuru,2025-04-17 16:00:00,2025-04-17 17:30:00,2025-04-17 16:06:00,2025-04-17 17:36:00,completed,6,,General Handling,1.5
S00059,C149,I024,A025,Chennai,2025-04-20 10:00:00,2025-04-20 11:30:00,2025-04-20 11:55:00,2025-04-20 13:25:00,delayed,115,,General Handling,1.5
S00060,C099,I027,A016,Hyderabad,2025-04-06 07:00:00,2025-04-06 08:30:00,,,cancelled,0,Aircraft Defect,Cross Country,
S00061,C010,I029,A014,Chennai,2025-01-18 06:00:00,2025-01-18 07:30:00,2025-01-18 06:05:00,2025-01-18 07:35:00,completed,5,,Navigation,1.5
S00062,C092,I023,A016,Hyderabad,2025-04-21 06:00:00,2025-04-21 07:30:00,2025-04-21 06:23:00,2025-04-21 07:53:00,completed,23,,Circuit,1.5
S00063,C042,I006,A016,Chennai,2025-05-23 05:00:00,2025-05-23 06:30:00,2025-05-23 05:37:00,2025-05-23 07:07:00,completed,37,,Night Flying,1.5
S00064,C159,I028,A001,Pune,2025-05-24 10:00:00,2025-05-24 11:30:00,2025-05-24 10:07:00,2025-05-24 11:37:00,completed,7,,Cross Country,1.5
S00065,C153,I026,A016,Hyderabad,2025-04-01 18:00:00,2025-04-01 19:30:00,2025-04-01 18:27:00,2025-04-01 19:57:00,completed,27,,Navigation,1.5
S00066,C073,I001,A017,Pune,2025-03-15 14:00:00,2025-03-15 15:30:00,2025-03-15 15:09:00,2025-03-15 16:39:00,delayed,69,,General Handling,1.5
S00067,C158,I008,A024,Chennai,2025-01-27 14:00:00,2025-01-27 15:30:00,,,cancelled,0,Weather,Night Flying,
S00068,C197,I004,A006,Pune,2025-02-24 07:00:00,2025-02-24 08:30:00,2025-02-24 08:54:00,2025-02-24 10:24:00,delayed,114,,Cross Country,1.5
S00069,C011,I025,A024,Bangalore,2025-02-27 18:00:00,2025-02-27 19:30:00,2025-02-27 18:06:00,2025-02-27 19:36:00,completed,6,,General Handling,1.5
S00070,C033,I016,A025,Mysuru,2025-05-23 10:00:00,2025-05-23 11:30:00,2025-05-23 10:07:00,2025-05-23 11:37:00,completed,7,,General Handling,1.5
S00071,C059,I022,A002,Mysuru,2025-05-27 08:00:00,2025-05-27 09:30:00,2025-05-27 09:24:00,2025-05-27 10:54:00,delayed,84,,Night Flying,1.5
S00072,C188,I024,A001,Chennai,2025-06-09 14:00:00,2025-06-09 15:30:00,,,cancelled,0,ATC Restriction,Night Flying,
S00073,C013,I029,A014,Pune,2025-01-07 14:00:00,2025-01-07 15:30:00,2025-01-07 14:17:00,2025-01-07 15:47:00,completed,17,,Navigation,1.5
