sortie_id,cadet_id,instructor_id,aircraft_id,base_id,scheduled_start,scheduled_end,actual_start,actual_end,status,delay_minutes,cancel_reason,lesson_type
S00001,C096,I030,A015,Mysuru,2025-06-10 06:00:00,2025-06-10 07:30:00,2025-06-10 06:40:00,2025-06-10 08:10:00,completed,40,,Navigation
S00002,C086,I009,A001,Chennai,2025-03-21 17:00:00,2025-03-21 18:30:00,2025-03-21 17:28:00,2025-03-21 18:58:00,completed,28,,Navigation
S00003,C088,I010,A013,Bangalore,2025-05-29 10:00:00,2025-05-29 11:30:00,2025-05-29 10:08:00,2025-05-29 11:38:00,completed,8,,Navigation
S00004,C011,I027,A016,Bangalore,2025-03-17 10:00:00,2025-03-17 11:30:00,2025-03-17 10:26:00,2025-03-17 11:56:00,completed,26,,Circuit
S00005,C198,I011,A013,Hyderabad,2025-02-21 07:00:00,2025-02-21 08:30:00,2025-02-21 07:34:00,2025-02-21 09:04:00,completed,34,,General Handling
S00006,C052,I016,A017,Hyderabad,2025-05-16 13:00:00,2025-05-16 14:30:00,2025-05-16 14:04:00,2025-05-16 15:34:00,delayed,64,,Circuit
S00007,C051,I014,A008,Hyderabad,2025-03-07 18:00:00,2025-03-07 19:30:00,2025-03-07 18:30:00,2025-03-07 20:00:00,completed,30,,General Handling
S00008,C056,I001,A025,Chennai,2025-03-28 17:00:00,2025-03-28 18:30:00,2025-03-28 17:07:00,2025-03-28 18:37:00,completed,7,,Cross Country
S00009,C144,I024,A012,Chennai,2025-01-20 07:00:00,2025-01-20 08:30:00,2025-01-20 07:14:00,2025-01-20 08:44:00,completed,14,,Cross Country
S00010,C063,I011,A012,Mysuru,2025-05-23 10:00:00,2025-05-23 11:30:00,2025-05-23 10:05:00,2025-05-23 11:35:00,completed,5,,Cross Country
S00011,C022,I028,A017,Chennai,2025-01-04 09:00:00,2025-01-04 10:30:00,,,cancelled,0,Weather,Night Flying
S00012,C133,I008,A017,Bangalore,2025-02-01 12:00:00,2025-02-01 13:30:00,2025-02-01 12:23:00,2025-02-01 13:53:00,completed,23,,General Handling
S00013,C090,I001,A024,Bangalore,2025-05-30 11:00:00,2025-05-30 12:30:00,2025-05-30 11:40:00,2025-05-30 13:10:00,completed,40,,General Handling
S00014,C200,I004,A015,Mysuru,2025-01-28 15:00:00,2025-01-28 16:30:00,2025-01-28 15:14:00,2025-01-28 16:44:00,completed,14,,Cross Country
S00015,C025,I016,A025,Bangalore,2025-01-07 14:00:00,2025-01-07 15:30:00,2025-01-07 14:35:00,2025-01-07 16:05:00,completed,35,,General Handling
S00016,C140,I002,A021,Mysuru,2025-06-06 08:00:00,2025-06-06 09:30:00,2025-06-06 08:04:00,2025-06-06 09:34:00,completed,4,,Cross Country
S00017,C019,I020,A004,Pune,2025-06-29 09:00:00,2025-06-29 10:30:00,2025-06-29 09:26:00,2025-06-29 10:56:00,completed,26,,Navigation
S00018,C126,I024,A012,Bangalore,2025-02-05 05:00:00,2025-02-05 06:30:00,2025-02-05 05:02:00,2025-02-05 06:32:00,completed,2,,General Handling
S00019,C136,I005,A018,Hyderabad,2025-05-07 06:00:00,2025-05-07 07:30:00,2025-05-07 06:42:00,2025-05-07 08:12:00,delayed,42,,Circuit
S00020,C154,I001,A001,Chennai,2025-05-18 07:00:00,2025-05-18 08:30:00,2025-05-18 07:24:00,2025-05-18 08:54:00,completed,24,,Cross Country
S00021,C108,I007,A009,Hyderabad,2025-04-05 15:00:00,2025-04-05 16:30:00,2025-04-05 15:34:00,2025-04-05 17:04:00,completed,34,,Cross Country
S00022,C154,I003,A017,Chennai,2025-05-31 16:00:00,2025-05-31 17:30:00,2025-05-31 16:49:00,2025-05-31 18:19:00,delayed,49,,Cross Country
S00023,C071,I004,A015,Mysuru,2025-06-17 06:00:00,2025-06-17 07:30:00,2025-06-17 07:32:00,2025-06-17 09:02:00,delayed,92,,Night Flying
S00024,C149,I002,A011,Chennai,2025-04-15 09:00:00,2025-04-15 10:30:00,2025-04-15 09:02:00,2025-04-15 10:32:00,completed,2,,General Handling
S00025,C074,I022,A018,Chennai,2025-02-25 12:00:00,2025-02-25 13:30:00,2025-02-25 12:28:00,2025-02-25 13:58:00,completed,28,,Circuit
S00026,C015,I008,A001,Pune,2025-04-03 06:00:00,2025-04-03 07:30:00,2025-04-03 07:57:00,2025-04-03 09:27:00,delayed,117,,General Handling
S00027,C109,I016,A024,Hyderabad,2025-05-20 15:00:00,2025-05-20 16:30:00,2025-05-20 15:22:00,2025-05-20 16:52:00,completed,22,,Navigation
S00028,C044,I013,A016,Pune,2025-04-12 09:00:00,2025-04-12 10:30:00,,,cancelled,0,ATC Restriction,Circuit
S00029,C046,I014,A014,Hyderabad,2025-02-01 18:00:00,2025-02-01 19:30:00,2025-02-01 19:28:00,2025-02-01 20:58:00,delayed,88,,Navigation
S00030,C005,I029,A002,Bangalore,2025-06-19 08:00:00,2025-06-19 09:30:00,2025-06-19 08:40:00,2025-06-19 10:10:00,completed,40,,Night Flying
S00031,C179,I029,A022,Bangalore,2025-01-06 05:00:00,2025-01-06 06:30:00,,,cancelled,0,Weather,General Handling
S00032,C047,I013,A015,Hyderabad,2025-03-04 07:00:00,2025-03-04 08:30:00,2025-03-04 07:36:00,2025-03-04 09:06:00,completed,36,,Circuit
S00033,C164,I021,A017,Mysuru,2025-01-18 18:00:00,2025-01-18 19:30:00,2025-01-18 18:35:00,2025-01-18 20:05:00,completed,35,,Circuit
S00034,C197,I005,A021,Pune,2025-05-31 08:00:00,2025-05-31 09:30:00,2025-05-31 08:14:00,2025-05-31 09:44:00,completed,14,,General Handling
S00035,C055,I006,A015,Chennai,2025-02-07 17:00:00,2025-02-07 18:30:00,2025-02-07 18:46:00,2025-02-07 20:16:00,delayed,106,,Navigation
